LoanID,StudentID,ItemID,ItemCategory,CheckoutDate,ReturnDate,Status
52,28,4,Camera,2026-02-26,2026-03-14,returned
53,7,14,Accessory,2026-04-27,,checked_out
54,6,7,Projector,2026-01-15,,checked_out
55,9,15,Audio,2026-08-03,,checked_out
56,10,7,Projector,2026-07-12,,checked_out
57,26,9,Accessory,2026-07-03,,checked_out
58,5,4,Camera,2026-03-31,2026-04-02,returned
59,19,12,Classroom,2026-06-02,2026-06-13,returned
60,2,1,Laptop,2026-06-13,2026-06-30,returned
61,6,1,Laptop,2026-05-25,2026-05-31,returned
62,3,10,Tablet,2026-02-01,2026-02-09,returned
63,13,2,Laptop,2026-06-09,2026-06-29,returned
64,2,10,Tablet,2026-02-04,2026-02-23,returned
65,19,9,Accessory,2026-04-05,,checked_out
66,7,11,Calculator,2026-07-17,2026-07-26,returned
67,13,3,Camera,2026-07-05,2026-07-20,returned
68,11,15,Audio,2026-07-26,,checked_out
69,1,8,Accessory,2026-06-23,,checked_out
70,4,2,Laptop,2026-06-01,2026-06-10,returned
71,5,15,Audio,2026-04-14,,checked_out
72,29,4,Camera,2026-04-19,2026-05-04,returned
73,27,9,Accessory,2026-07-14,2026-08-04,returned
74,17,1,Laptop,2026-07-04,,checked_out
75,10,15,Audio,2026-07-03,2026-07-08,returned
76,9,2,Laptop,2026-02-11,,checked_out
77,5,5,Audio,2026-03-28,2026-04-08,returned
78,7,11,Calculator,2026-06-26,,checked_out
79,17,8,Accessory,2026-03-20,,checked_out
80,28,1,Laptop,2026-02-07,2026-02-16,returned
81,2,1,Laptop,2026-04-10,,checked_out
82,21,5,Audio,2026-02-25,,checked_out
83,18,12,Classroom,2026-05-04,2026-05-08,returned
84,3,15,Audio,2026-07-10,,checked_out
85,18,1,Laptop,2026-08-16,2026-09-03,returned
86,5,7,Projector,2026-02-16,2026-02-28,returned
87,29,15,Audio,2026-08-06,,checked_out
88,2,15,Audio,2026-04-16,2026-04-24,returned
89,22,2,Laptop,2026-04-15,,checked_out
90,29,14,Accessory,2026-04-29,,checked_out
91,24,3,Camera,2026-03-16,,checked_out
92,26,13,Camera,2026-03-01,,checked_out
93,1,3,Camera,2026-07-22,,checked_out
94,26,15,Audio,2026-04-30,,checked_out
95,28,12,Classroom,2026-08-10,2026-08-16,returned
96,26,12,Classroom,2026-02-11,2026-02-13,returned
97,28,8,Accessory,2026-03-12,2026-03-27,returned
98,12,5,Audio,2026-08-13,,checked_out
99,8,4,Camera,2026-01-21,2026-02-03,returned
100,11,5,Audio,2026-02-01,,checked_out
101,9,6,Audio,2026-06-28,2026-07-16,returned
102,11,1,Laptop,2026-02-13,,checked_out
103,9,3,Camera,2026-06-12,,checked_out
104,9,1,Laptop,2026-02-11,2026-02-23,returned
105,24,13,Camera,2026-04-05,2026-04-22,returned
106,4,7,Projector,2026-06-11,2026-06-13,returned
107,23,7,Projector,2026-01-15,2026-02-02,returned
108,22,12,Classroom,2026-07-23,,checked_out
109,7,6,Audio,2026-05-05,2026-05-16,returned
110,20,6,Audio,2026-07-03,,checked_out
111,24,15,Audio,2026-04-01,2026-04-15,returned
112,11,7,Projector,2026-07-12,2026-07-17,returned
113,7,7,Projector,2026-07-04,,checked_out
114,22,12,Classroom,2026-02-28,2026-03-10,returned
115,13,9,Accessory,2026-08-16,2026-08-26,returned
116,7,7,Projector,2026-08-04,2026-08-25,returned
117,11,8,Accessory,2026-05-08,2026-05-15,returned
118,17,8,Accessory,2026-08-06,,checked_out
119,26,12,Classroom,2026-02-27,2026-03-09,returned
120,17,11,Calculator,2026-06-26,2026-06-29,returned
121,27,13,Camera,2026-03-16,2026-03-24,returned
122,26,4,Camera,2026-02-21,2026-03-01,returned
123,16,10,Tablet,2026-08-20,,checked_out
124,15,7,Projector,2026-06-25,2026-07-08,returned
125,16,7,Projector,2026-03-18,2026-03-19,returned
126,29,13,Camera,2026-08-23,,checked_out
127,4,13,Camera,2026-05-03,2026-05-20,returned
128,15,1,Laptop,2026-06-06,2026-06-10,returned
129,15,3,Camera,2026-08-08,2026-08-25,returned
130,18,10,Tablet,2026-04-06,,checked_out
131,29,8,Accessory,2026-06-20,,checked_out
132,29,9,Accessory,2026-05-04,,checked_out
133,18,8,Accessory,2026-02-24,,checked_out
134,16,8,Accessory,2026-03-22,,checked_out
135,27,11,Calculator,2026-03-26,,checked_out
136,17,8,Accessory,2026-06-24,2026-07-09,returned
137,3,12,Classroom,2026-03-29,2026-04-09,returned
138,11,15,Audio,2026-06-02,2026-06-07,returned
139,8,7,Projector,2026-07-11,2026-07-18,returned
140,3,7,Projector,2026-04-29,2026-05-14,returned
141,14,1,Laptop,2026-03-08,,checked_out
142,13,15,Audio,2026-07-31,2026-08-01,returned
143,28,15,Audio,2026-07-29,2026-08-14,returned
144,1,6,Audio,2026-04-01,,checked_out
145,28,15,Audio,2026-08-16,2026-09-03,returned
146,26,10,Tablet,2026-03-12,2026-03-21,returned
147,14,8,Accessory,2026-01-22,2026-02-04,returned
148,24,3,Camera,2026-08-18,2026-08-23,returned
149,20,9,Accessory,2026-01-21,,checked_out
150,19,10,Tablet,2026-07-03,2026-07-24,returned
151,14,3,Camera,2026-05-13,2026-05-22,returned
152,13,6,Audio,2026-03-10,2026-03-21,returned
153,25,15,Audio,2026-04-22,2026-05-06,returned
154,9,14,Accessory,2026-02-04,2026-02-22,returned
155,2,6,Audio,2026-03-13,2026-04-03,returned
156,2,13,Camera,2026-01-22,,checked_out
157,7,14,Accessory,2026-01-20,2026-01-28,returned
158,5,8,Accessory,2026-07-05,2026-07-12,returned
159,15,12,Classroom,2026-03-21,,checked_out
160,6,10,Tablet,2026-06-19,,checked_out
161,23,2,Laptop,2026-08-02,,checked_out
162,10,2,Laptop,2026-06-12,2026-06-22,returned
163,19,11,Calculator,2026-04-21,2026-04-28,returned
164,3,10,Tablet,2026-07-10,,checked_out
165,8,2,Laptop,2026-07-12,,checked_out
166,28,11,Calculator,2026-06-17,,checked_out
167,26,10,Tablet,2026-08-03,2026-08-21,returned
168,14,11,Calculator,2026-04-19,2026-05-10,returned
169,11,1,Laptop,2026-08-20,2026-09-05,returned
170,4,7,Projector,2026-04-17,2026-05-02,returned
171,23,3,Camera,2026-05-06,2026-05-23,returned
172,21,5,Audio,2026-06-21,,checked_out
173,18,13,Camera,2026-05-18,2026-06-06,returned
174,9,6,Audio,2026-08-21,2026-08-24,returned
175,9,15,Audio,2026-05-10,2026-05-25,returned
176,19,10,Tablet,2026-07-05,2026-07-06,returned
177,16,14,Accessory,2026-04-08,2026-04-15,returned
178,12,13,Camera,2026-03-22,2026-04-11,returned
179,23,15,Audio,2026-03-26,2026-04-12,returned
180,7,2,Laptop,2026-03-17,,checked_out
